ano.x,uf,ugrhi,municipio,codigo_ibge,populacao_urbana,atendimento_coleta_porc,atendimento_tratamento_porc,eficiencia,carga_poluidora_potencial,carga_poluidora_remancescente,ictem,ano.y,muni_nm,uf_sigla,regiao_nm,idhm,idhm_e,idhm_l,idhm_r,espvida,rdpc,gini,pop,lat,lon
2022,SP,1,Campos do Jordão,3509700,52384,52.6,100,93,2829,1445,5.97,2010,CAMPOS DO JORDÃO,SP,Sudeste,0.749,0.648,0.852,0.761,76.1,911.4,0.59,47287,-22.739,-45.591
2022,SP,1,Santo Antônio do Pinhal,3548203,4067,46.7,100,80,220,138,4.63,2010,SANTO ANTÔNIO DO PINHAL,SP,Sudeste,0.706,0.632,0.812,0.685,73.69,569.08,0.47,6450,-22.827,-45.663
2022,SP,1,São Bento do Sapucaí,3548609,5251,98,100,91.3,284,30,9.97,2010,SÃO BENTO DO SAPUCAÍ,SP,Sudeste,0.72,0.638,0.812,0.719,73.69,701.89,0.55,10370,-22.689,-45.731
2022,SP,2,Aparecida,3502507,35684,70,0,0,1927,1927,1.55,2010,APARECIDA,SP,Sudeste,0.755,0.706,0.828,0.735,74.67,775.17,0.46,34630,-22.847,-45.23
2022,SP,2,Arapeí,3503158,1844,95.6,95.6,99,100,9,9.86,2010,ARAPEÍ,SP,Sudeste,0.68,0.612,0.812,0.634,73.72,414.19,0.39,2481,-22.674,-44.448
2022,SP,2,Areias,3503505,2619,100,0,0,141,141,1.5,2010,AREIAS,SP,Sudeste,0.697,0.672,0.803,0.627,73.18,396.78,0.44,3632,-22.58,-44.697
2022,SP,2,Bananal,3504909,8808,88.1,100,75,476,161,7.61,2010,BANANAL,SP,Sudeste,0.733,0.653,0.872,0.693,77.29,595.74,0.51,10101,-22.684,-44.323
2022,SP,2,Caçapava,3508504,81929,100,99.5,58.3,4424,1858,7.26,2010,CAÇAPAVA,SP,Sudeste,0.788,0.755,0.858,0.754,76.5,871.87,0.5,84338,-23.101,-45.707
2022,SP,2,Cachoeira Paulista,3508603,27623,100,100,87.2,1492,191,9.7,2010,CACHOEIRA PAULISTA,SP,Sudeste,0.764,0.728,0.837,0.733,75.19,764.6,0.52,29894,-22.665,-45.009
2022,SP,2,Canas,3509957,4890,84.6,100,89,264,65,8.16,2010,CANAS,SP,Sudeste,0.704,0.677,0.797,0.646,72.83,444.72,0.43,4384,-22.704,-45.055
2022,SP,2,Cruzeiro,3513405,80783,74.3,6.2,67.6,4362,4226,1.41,2010,CRUZEIRO,SP,Sudeste,0.788,0.758,0.871,0.742,77.28,809.24,0.53,76857,-22.576,-44.963
2022,SP,2,Cunha,3513603,11893,90,16,34.7,642,610,1.91,2010,CUNHA,SP,Sudeste,0.684,0.576,0.826,0.672,74.54,525.19,0.54,21516,-23.074,-44.96
2022,SP,2,Guararema,3518305,26217,60.4,100,70.4,1416,814,5.67,2010,GUARAREMA,SP,Sudeste,0.731,0.656,0.817,0.729,74.03,748.79,0.47,25662,-23.415,-46.035
2022,SP,2,Guaratinguetá,3518404,117355,98.2,47.2,50.4,6337,4856,3.9,2010,GUARATINGUETÁ,SP,Sudeste,0.798,0.751,0.886,0.764,78.17,926.78,0.54,111477,-22.816,-45.193
2022,SP,2,Igaratá,3520202,7640,30.7,100,80.1,413,311,3.76,2010,IGARATÁ,SP,Sudeste,0.711,0.616,0.855,0.683,76.28,561.31,0.41,8772,-23.204,-46.156
2022,SP,2,Jacareí,3524402,233844,98.2,99.1,77.5,12628,3108,8.36,2010,JACAREÍ,SP,Sudeste,0.777,0.749,0.837,0.749,75.2,846.53,0.49,210649,-23.305,-45.966
2022,SP,2,Jambeiro,3524907,3269,100,100,96,177,7,9.7,2010,JAMBEIRO,SP,Sudeste,0.756,0.69,0.86,0.727,76.61,738.52,0.49,5330,-23.254,-45.688
2022,SP,2,Lagoinha,3526308,3165,83.5,100,97,171,32,9.45,2010,LAGOINHA,SP,Sudeste,0.693,0.609,0.797,0.686,72.82,573.28,0.48,4789,-23.091,-45.19
2022,SP,2,Lavrinhas,3526605,6757,73.2,88.3,38.8,365,273,4.55,2010,LAVRINHAS,SP,Sudeste,0.729,0.707,0.823,0.665,74.38,500.59,0.55,6437,-22.571,-44.902
2022,SP,2,Lorena,3527207,86968,99.6,100,65.7,4696,1623,7.74,2010,LORENA,SP,Sudeste,0.766,0.713,0.856,0.736,76.35,781.28,0.52,82078,-22.731,-45.125
2022,SP,2,Monteiro Lobato,3531704,2045,84.4,100,73.4,110,42,7.3,2010,MONTEIRO LOBATO,SP,Sudeste,0.71,0.627,0.826,0.692,74.53,593.95,0.48,4095,-22.957,-45.84
2022,SP,2,Natividade da Serra,3532306,2765,96,50,12,149,141,2.86,2010,NATIVIDADE DA SERRA,SP,Sudeste,0.655,0.52,0.814,0.664,73.86,496.93,0.51,6500,-23.376,-45.442
2022,SP,2,Paraibuna,3535606,5518,68,40,97,298,219,3.83,2010,PARAIBUNA,SP,Sudeste,0.719,0.642,0.815,0.709,73.91,657.59,0.51,17136,-23.386,-45.662
2022,SP,2,Pindamonhangaba,3538006,165703,100,100,70.2,8948,2666,7.76,2010,PINDAMONHANGABA,SP,Sudeste,0.773,0.736,0.843,0.745,75.58,826.02,0.52,146323,-22.924,-45.462
2022,SP,2,Piquete,3538501,12639,84.3,0,0,683,683,1.26,2010,PIQUETE,SP,Sudeste,0.757,0.74,0.823,0.711,74.38,665.74,0.49,14002,-22.614,-45.176
2022,SP,2,Potim,3540754,19415,85,10,31,1048,1021,1.6,2010,POTIM,SP,Sudeste,0.697,0.646,0.806,0.651,73.38,460.22,0.37,16751,-22.843,-45.251
2022,SP,2,Queluz,3541901,11308,77.2,85,93,611,238,6.71,2010,QUELUZ,SP,Sudeste,0.722,0.687,0.823,0.665,74.38,500.25,0.46,10552,-22.537,-44.774
2022,SP,2,Redenção da Serra,3542305,2187,44.3,100,89,118,72,4.92,2010,REDENÇÃO DA SERRA,SP,Sudeste,0.657,0.56,0.799,0.633,72.95,411.77,0.45,3749,-23.267,-45.537
2022,SP,2,Roseira,3544301,10340,93.6,100,70.5,558,190,7.39,2010,ROSEIRA,SP,Sudeste,0.737,0.704,0.823,0.691,74.38,588.39,0.43,9519,-22.898,-45.305
2022,SP,2,Santa Branca,3546009,13165,64,5,60,711,697,1.66,2010,SANTA BRANCA,SP,Sudeste,0.735,0.678,0.828,0.706,74.68,645.59,0.47,13699,-23.397,-45.884
2022,SP,2,Santa Isabel,3546801,45928,57.3,5,80,2480,2423,1.59,2010,SANTA ISABEL,SP,Sudeste,0.738,0.689,0.834,0.7,75.02,623.11,0.45,49899,-23.316,-46.221
2022,SP,2,São José do Barreiro,3549607,2914,84.7,0,0,157,157,1.27,2010,SÃO JOSÉ DO BARREIRO,SP,Sudeste,0.684,0.591,0.813,0.666,73.8,506.16,0.55,4008,-22.645,-44.578
2022,SP,2,São José dos Campos,3549904,722310,94.4,99.2,87,39005,7243,9.91,2010,SÃO JOSÉ DOS CAMPOS,SP,Sudeste,0.807,0.764,0.855,0.804,76.27,1190.96,0.55,627677,-23.179,-45.887
2022,SP,2,São Luís do Paraitinga,3550001,6356,88.3,100,95.9,343,53,9.82,2010,SÃO LUÍS DO PARAITINGA,SP,Sudeste,0.697,0.593,0.826,0.691,74.54,590.68,0.48,10317,-23.222,-45.31
2022,SP,2,Silveiras,3552007,3169,95.9,100,90,171,23,9.94,2010,SILVEIRAS,SP,Sudeste,0.678,0.584,0.812,0.657,73.72,475.69,0.48,5748,-22.664,-44.853
2022,SP,2,Taubaté,3554102,313898,100,100,97.9,16950,356,9.8,2010,TAUBATÉ,SP,Sudeste,0.8,0.746,0.883,0.778,77.98,1011.95,0.51,276183,-23.026,-45.555
2022,SP,2,Tremembé,3554805,43465,98.6,100,98,2347,79,9.78,2010,TREMEMBÉ,SP,Sudeste,0.785,0.72,0.873,0.769,77.38,959.88,0.53,37302,-22.958,-45.549
2022,SP,3,Caraguatatuba,3510500,120021,78.6,100,84.5,6481,2177,7.5,2010,CARAGUATATUBA,SP,Sudeste,0.759,0.705,0.845,0.735,75.68,773.99,0.5,99827,-23.62,-45.413
2022,SP,3,Ilhabela,3520400,35945,40.5,NA,NA,1941,NA,3.59,2010,ILHABELA,SP,Sudeste,0.756,0.693,0.843,0.739,75.56,794.57,0.49,27892,-23.778,-45.358
2022,SP,3,São Sebastião,3550704,90605,44.6,98.2,90.9,4893,2946,5.23,2010,SÃO SEBASTIÃO,SP,Sudeste,0.772,0.703,0.875,0.747,77.51,837.48,0.49,73523,-23.76,-45.41
2022,SP,3,Ubatuba,3555406,90588,34.7,99,70.2,4892,3712,4.08,2010,UBATUBA,SP,Sudeste,0.751,0.679,0.841,0.741,75.47,803.5,0.58,78243,-23.434,-45.071
2022,SP,4,Altinópolis,3501004,14172,100,100,51,765,375,6.82,2010,ALTINÓPOLIS,SP,Sudeste,0.73,0.635,0.843,0.726,75.57,731.49,0.45,15527,-21.026,-47.374
2022,SP,4,Brodowski,3507803,24986,99,100,78.5,1349,301,8.54,2010,BRODOWSKI,SP,Sudeste,0.755,0.675,0.864,0.738,76.81,787.91,0.44,21023,-20.991,-47.659
2022,SP,4,Caconde,3508702,12975,100,0,0,701,701,1.5,2010,CACONDE,SP,Sudeste,0.72,0.62,0.858,0.701,76.45,627,0.5,18414,-21.529,-46.644
2022,SP,4,Cajuru,3509403,23680,96.4,100,86,1279,219,9.95,2010,CAJURU,SP,Sudeste,0.713,0.633,0.825,0.693,74.52,597.11,0.4,23252,-21.275,-47.304
2022,SP,4,Casa Branca,3510807,25075,100,95,93,1354,158,9.63,2010,CASA BRANCA,SP,Sudeste,0.73,0.64,0.835,0.727,75.08,737.96,0.49,25960,-21.774,-47.086
2022,SP,4,Cássia dos Coqueiros,3510906,1696,91.4,100,80,92,25,8.12,2010,CÁSSIA DOS COQUEIROS,SP,Sudeste,0.734,0.673,0.864,0.68,76.81,551.4,0.43,2618,-21.283,-47.17
2022,SP,4,Cravinhos,3513108,34965,99,99,73,1888,537,7.83,2010,CRAVINHOS,SP,Sudeste,0.756,0.683,0.857,0.737,76.44,784.4,0.42,31565,-21.34,-47.729
2022,SP,4,Divinolândia,3513900,7379,85.2,88,88,398,136,7.06,2010,DIVINOLÂNDIA,SP,Sudeste,0.734,0.645,0.85,0.72,75.97,707.97,0.48,11003,-21.661,-46.739
2022,SP,4,Itobi,3523800,7085,88.5,100,85.6,383,93,8.25,2010,ITOBI,SP,Sudeste,0.717,0.646,0.82,0.697,74.19,611.41,0.41,7471,-21.737,-46.975
2022,SP,4,Jardinópolis,3525102,43706,100,0,0,2360,2360,1.5,2010,JARDINÓPOLIS,SP,Sudeste,0.735,0.64,0.853,0.728,76.15,742.74,0.48,37497,-21.018,-47.764
2022,SP,4,Mococa,3530508,63715,99,100,86.6,3441,491,9.99,2010,MOCOCA,SP,Sudeste,0.762,0.709,0.827,0.756,74.63,881.99,0.53,65734,-21.468,-47.005
2022,SP,4,Ribeirão Preto,3543402,718072,99.5,94,93.5,38776,4866,9.9,2010,RIBEIRÃO PRETO,SP,Sudeste,0.8,0.739,0.844,0.82,75.65,1314.04,0.54,598544,-21.178,-47.81
2022,SP,4,Sales Oliveira,3544905,10959,99.2,100,76.4,592,143,8.42,2010,SALES OLIVEIRA,SP,Sudeste,0.772,0.739,0.845,0.738,75.71,789.73,0.43,10538,-20.772,-47.838
2022,SP,4,Santa Cruz da Esperança,3546256,1467,100,100,72,79,22,8.18,2010,SANTA CRUZ DA ESPERANÇA,SP,Sudeste,0.743,0.686,0.832,0.719,74.89,700.57,0.53,1947,-21.291,-47.43
2022,SP,4,Santa Rosa de Viterbo,3547601,25700,96.2,100,73.5,1388,407,8.04,2010,SANTA ROSA DE VITERBO,SP,Sudeste,0.77,0.704,0.868,0.746,77.1,829.2,0.5,23703,-21.473,-47.363
2022,SP,4,São José do Rio Pardo,3549706,48968,100,12,38.5,2644,2522,2.28,2010,SÃO JOSÉ DO RIO PARDO,SP,Sudeste,0.774,0.717,0.868,0.744,77.05,818.61,0.49,51520,-21.596,-46.889
2022,SP,4,São Sebastião da Grama,3550803,7996,96.9,99,83,432,88,8.62,2010,SÃO SEBASTIÃO DA GRAMA,SP,Sudeste,0.701,0.609,0.82,0.689,74.19,581.04,0.41,12010,-21.711,-46.821
2022,SP,4,São Simão,3550902,13919,100,0,0,752,752,1.5,2010,SÃO SIMÃO,SP,Sudeste,0.766,0.722,0.852,0.732,76.11,761.14,0.45,14300,-21.479,-47.551
2022,SP,4,Serra Azul,3551405,10892,92.8,100,90,588,97,9.89,2010,SERRA AZUL,SP,Sudeste,0.686,0.572,0.81,0.697,73.6,613.57,0.45,8791,-21.311,-47.566
2022,SP,4,Serrana,3551504,45677,100,100,78,2467,543,8.57,2010,SERRANA,SP,Sudeste,0.729,0.65,0.835,0.713,75.08,677.75,0.37,38734,-21.211,-47.596
2022,SP,4,Tambaú,3553302,20663,100,100,63,1116,413,7.3,2010,TAMBAÚ,SP,Sudeste,0.731,0.624,0.858,0.729,76.45,747.11,0.45,22289,-21.705,-47.274
2022,SP,4,Tapiratiba,3553609,10671,91.7,40,80.7,576,406,4.4,2010,TAPIRATIBA,SP,Sudeste,0.751,0.692,0.87,0.703,77.18,637.12,0.4,12711,-21.468,-46.749
2022,SP,4,Vargem Grande do Sul,3556404,41168,100,95,55,2223,1062,6.83,2010,VARGEM GRANDE DO SUL,SP,Sudeste,0.737,0.643,0.863,0.721,76.78,711.6,0.42,39144,-21.832,-46.894
2022,SP,5,Águas de São Pedro,3500600,3588,96.5,100,84,194,37,9.65,2010,ÁGUAS DE SÃO PEDRO,SP,Sudeste,0.854,0.825,0.89,0.849,78.37,1580.72,0.54,2680,-22.599,-47.876
