ano,muni_id,muni_nm,uf_sigla,regiao_nm,idhm,idhm_e,idhm_l,idhm_r,espvida,rdpc,gini,pop,lat,lon
2010,3500105,ADAMANTINA,SP,Sudeste,0.79,0.75,0.852,0.772,76.13,975.43,0.51,33490,-21.685,-51.073
2010,3500204,ADOLFO,SP,Sudeste,0.73,0.648,0.844,0.71,75.62,661.65,0.38,3557,-21.235,-49.644
2010,3500303,AGUAÍ,SP,Sudeste,0.715,0.606,0.858,0.703,76.49,636.07,0.47,32089,-22.059,-46.979
2010,3500402,ÁGUAS DA PRATA,SP,Sudeste,0.781,0.716,0.886,0.75,78.13,853.39,0.52,7510,-21.937,-46.717
2010,3500501,ÁGUAS DE LINDÓIA,SP,Sudeste,0.745,0.675,0.846,0.725,75.76,730.13,0.43,17120,-22.476,-46.633
2010,3500550,ÁGUAS DE SANTA BÁRBARA,SP,Sudeste,0.757,0.695,0.84,0.744,75.41,818.15,0.48,5570,-22.881,-49.239
2010,3500600,ÁGUAS DE SÃO PEDRO,SP,Sudeste,0.854,0.825,0.89,0.849,78.37,1580.72,0.54,2680,-22.599,-47.876
2010,3500709,AGUDOS,SP,Sudeste,0.745,0.694,0.845,0.705,75.67,642.59,0.41,34113,-22.469,-48.988
2010,3500758,ALAMBARI,SP,Sudeste,0.712,0.658,0.805,0.682,73.27,556.36,0.44,4863,-23.551,-47.899
2010,3500808,ALFREDO MARCONDES,SP,Sudeste,0.741,0.71,0.84,0.682,75.41,558.38,0.36,3880,-21.955,-51.413
2010,3500907,ALTAIR,SP,Sudeste,0.687,0.581,0.8,0.698,73,616.38,0.42,3795,-20.524,-49.059
2010,3501004,ALTINÓPOLIS,SP,Sudeste,0.73,0.635,0.843,0.726,75.57,731.49,0.45,15527,-21.026,-47.374
2010,3501103,ALTO ALEGRE,SP,Sudeste,0.7,0.616,0.817,0.683,74,560.3,0.35,4100,-21.581,-50.164
2010,3501152,ALUMÍNIO,SP,Sudeste,0.766,0.732,0.841,0.729,75.47,747.27,0.42,16701,-23.535,-47.262
2010,3501202,ÁLVARES FLORENCE,SP,Sudeste,0.728,0.683,0.806,0.701,73.35,627.14,0.41,3891,-20.321,-49.911
2010,3501301,ÁLVARES MACHADO,SP,Sudeste,0.758,0.732,0.834,0.712,75.03,672.03,0.46,23494,-22.079,-51.472
2010,3501400,ÁLVARO DE CARVALHO,SP,Sudeste,0.688,0.605,0.805,0.669,73.31,512.99,0.38,3294,-22.089,-49.719
2010,3501509,ALVINLÂNDIA,SP,Sudeste,0.722,0.659,0.791,0.721,72.48,710.49,0.53,2993,-22.444,-49.763
2010,3501608,AMERICANA,SP,Sudeste,0.811,0.76,0.876,0.8,77.55,1161.68,0.47,209811,-22.739,-47.331
2010,3501707,AMÉRICO BRASILIENSE,SP,Sudeste,0.751,0.701,0.852,0.709,76.12,659.67,0.39,34370,-21.724,-48.102
2010,3501806,AMÉRICO DE CAMPOS,SP,Sudeste,0.745,0.708,0.817,0.715,74.04,686.56,0.43,5697,-20.299,-49.732
2010,3501905,AMPARO,SP,Sudeste,0.785,0.711,0.871,0.78,77.27,1027.6,0.5,65469,-22.701,-46.764
2010,3502002,ANALÂNDIA,SP,Sudeste,0.754,0.668,0.861,0.745,76.66,823.33,0.53,4254,-22.126,-47.663
2010,3502101,ANDRADINA,SP,Sudeste,0.779,0.702,0.885,0.762,78.07,919.36,0.51,54037,-20.896,-51.379
2010,3502200,ANGATUBA,SP,Sudeste,0.719,0.648,0.827,0.693,74.6,597.99,0.45,22096,-23.49,-48.413
2010,3502309,ANHEMBI,SP,Sudeste,0.721,0.637,0.863,0.681,76.78,554.16,0.42,5548,-22.789,-48.127
2010,3502408,ANHUMAS,SP,Sudeste,0.741,0.706,0.845,0.683,75.67,561.82,0.42,3702,-22.295,-51.387
2010,3502507,APARECIDA,SP,Sudeste,0.755,0.706,0.828,0.735,74.67,775.17,0.46,34630,-22.847,-45.23
2010,3502606,APARECIDA D'OESTE,SP,Sudeste,0.721,0.67,0.804,0.697,73.25,611.22,0.47,4423,-20.449,-50.88
2010,3502705,APIAÍ,SP,Sudeste,0.71,0.647,0.835,0.662,75.07,492.43,0.55,24625,-24.509,-48.843
2010,3502754,ARAÇARIGUAMA,SP,Sudeste,0.704,0.597,0.814,0.717,73.86,691.69,0.46,16906,-23.439,-47.061
2010,3502804,ARAÇATUBA,SP,Sudeste,0.788,0.744,0.841,0.782,75.46,1036.09,0.52,180211,-21.209,-50.433
2010,3502903,ARAÇOIABA DA SERRA,SP,Sudeste,0.776,0.723,0.86,0.751,76.61,853.87,0.52,27154,-23.505,-47.614
2010,3503000,ARAMINA,SP,Sudeste,0.74,0.656,0.856,0.723,76.34,721.56,0.43,5139,-20.09,-47.786
