Carimbo de data/hora,Idade,Sexo biológico,Altura (em metros),Turma
2025-06-23T10:04:10Z,36,Feminino,1.58,Pós-graduação - Matutino
2025-06-23T10:08:13Z,43,Feminino,1.68,Pós-graduação - Matutino
2025-06-23T10:08:26Z,20,Masculino,1.73,Graduação - Matutino
2025-06-23T10:09:01Z,56,Masculino,1.73,Pós-graduação - Matutino
2025-06-23T10:10:03Z,42,Feminino,1.69,Pós-graduação - Matutino
2025-06-23T10:11:04Z,35,Masculino,1.68,Pós-graduação - Matutino
2025-06-23T10:28:51Z,36,Masculino,1.94,Pós-graduação - Matutino
2025-06-23T10:37:49Z,26,Masculino,1.76,Graduação - Matutino
2025-06-23T11:24:33Z,21,Masculino,1.68,Graduação - Matutino
2025-06-23T11:24:51Z,28,Masculino,1.80,Pós-graduação - Matutino
2025-06-23T11:25:35Z,29,Masculino,1.69,Graduação - Matutino
2025-06-23T11:26:14Z,31,Feminino,1.62,Pós-graduação - Matutino
2025-06-23T11:37:12Z,41,Feminino,1.71,Pós-graduação - Matutino
2025-06-23T21:06:18Z,25,Feminino,1.70,Graduação - Noturno
2025-06-23T21:06:26Z,25,Masculino,1.90,Graduação - Noturno
2025-06-23T21:07:14Z,20,Masculino,1.68,Graduação - Matutino
2025-06-23T21:07:19Z,21,Masculino,1.70,Graduação - Noturno
2025-06-23T21:08:49Z,23,Masculino,1.74,Graduação - Noturno
2025-06-23T21:10:34Z,24,Masculino,1.78,Graduação - Noturno
2025-06-23T21:10:52Z,21,Masculino,1.82,Graduação - Noturno
2025-06-23T21:11:01Z,21,Masculino,1.86,Graduação - Noturno
2025-06-23T21:12:03Z,24,Feminino,1.71,Graduação - Noturno
2025-06-23T21:12:06Z,26,Masculino,1.76,Graduação - Matutino
2025-06-23T21:13:09Z,25,Feminino,1.65,Graduação - Matutino
2025-06-23T21:16:34Z,28,Masculino,1.85,Graduação - Matutino
2025-06-23T21:18:26Z,22,Feminino,1.65,Graduação - Noturno
2025-06-23T21:24:53Z,22,Masculino,1.73,Graduação - Noturno
2025-06-23T22:20:01Z,23,Masculino,1.83,Graduação - Noturno
2025-06-24T16:30:44Z,28,Feminino,1.67,Graduação - Matutino
